id,key,value,type
236473986,created_by,JOSM,regular
236474390,created_by,JOSM,regular
236508229,created_by,JOSM,regular
236594836,created_by,JOSM,regular
236595205,created_by,JOSM,regular
236595506,created_by,JOSM,regular
236618451,created_by,JOSM,regular
236636833,created_by,JOSM,regular
236727658,created_by,JOSM,regular
236772286,created_by,JOSM,regular
236772565,created_by,JOSM,regular
236773106,created_by,JOSM,regular
236820320,created_by,JOSM,regular
236820716,created_by,JOSM,regular
236821164,created_by,JOSM,regular
236821691,created_by,JOSM,regular
236822475,created_by,JOSM,regular
236822831,created_by,JOSM,regular
236823684,created_by,JOSM,regular
237012269,highway,traffic_signals,regular
237219210,created_by,JOSM,regular
237397438,created_by,JOSM,regular
237399323,created_by,JOSM,regular
237492271,created_by,JOSM,regular
239824279,created_by,JOSM,regular
240035793,created_by,JOSM,regular
240708026,created_by,JOSM,regular
241595360,created_by,JOSM,regular
241824690,created_by,JOSM,regular
241900995,created_by,JOSM,regular
241926325,created_by,JOSM,regular
241978057,highway,crossing,regular
242576329,created_by,JOSM,regular
242589236,created_by,JOSM,regular
242590167,created_by,JOSM,regular
242601366,created_by,JOSM,regular
242615085,created_by,JOSM,regular
242615580,created_by,JOSM,regular
242661325,created_by,JOSM,regular
242932860,created_by,JOSM,regular
243208136,exit_to,Ang Mo Kio Avenue 3,regular
243208136,highway,motorway_junction,regular
243208136,name,Ang Mo Kio Central,regular
243208136,ref,12A,regular
243208315,highway,traffic_signals,regular
243213816,created_by,JOSM,regular
243218736,created_by,JOSM,regular
243415141,created_by,JOSM,regular
243415187,created_by,JOSM,regular
243421578,created_by,JOSM,regular
243463548,created_by,JOSM,regular
243463972,created_by,JOSM,regular
243480908,highway,traffic_signals,regular
243492245,highway,motorway_junction,regular
243492245,ref,7B,regular
243494149,highway,motorway_junction,regular
243494149,ref,14,regular
243508529,created_by,JOSM,regular
243508751,created_by,JOSM,regular
243677038,created_by,JOSM,regular
243677073,created_by,JOSM,regular
243678643,created_by,JOSM,regular
243680761,created_by,JOSM,regular
243700225,created_by,JOSM,regular
243700320,created_by,JOSM,regular
243704759,created_by,JOSM,regular
243713187,created_by,JOSM,regular
243713218,created_by,JOSM,regular
243854277,created_by,JOSM,regular
243855783,created_by,JOSM,regular
243857125,created_by,JOSM,regular
243857139,created_by,JOSM,regular
243857152,created_by,JOSM,regular
243857172,created_by,JOSM,regular
243857188,created_by,JOSM,regular
243857210,created_by,JOSM,regular
243998746,created_by,JOSM,regular
244000977,created_by,JOSM,regular
244001032,created_by,JOSM,regular
244001398,created_by,JOSM,regular
244001809,created_by,JOSM,regular
244131837,created_by,JOSM,regular
244131854,created_by,JOSM,regular
244131921,created_by,JOSM,regular
244131937,created_by,JOSM,regular
244131961,created_by,JOSM,regular
244138734,created_by,JOSM,regular
244138855,created_by,JOSM,regular
244139519,created_by,JOSM,regular
244139547,created_by,JOSM,regular
244139601,created_by,JOSM,regular
244148570,created_by,JOSM,regular
244148592,created_by,JOSM,regular
244148674,created_by,JOSM,regular
244148717,created_by,JOSM,regular
244148733,created_by,JOSM,regular
244148786,created_by,JOSM,regular
244148996,created_by,JOSM,regular
244149077,created_by,JOSM,regular
244149187,created_by,JOSM,regular
244169758,created_by,JOSM,regular
244170305,created_by,JOSM,regular
244170417,highway,traffic_signals,regular
244170547,created_by,JOSM,regular
244316729,created_by,JOSM,regular
244316743,created_by,JOSM,regular
244316765,created_by,JOSM,regular
244316782,created_by,JOSM,regular
244322155,created_by,JOSM,regular
244322173,created_by,JOSM,regular
244324301,created_by,JOSM,regular
244324355,created_by,JOSM,regular
244325700,created_by,JOSM,regular
