id,user,uid,version,changeset,timestamp
37553309,cboothroyd,255802,2,11949268,2012-06-19T15:16:07Z
37553778,cboothroyd,255802,5,11926686,2012-06-17T15:03:01Z
37583316,jermboy27,465857,3,14415594,2012-12-26T17:45:28Z
37583817,cboothroyd,255802,3,10454814,2012-01-21T12:17:53Z
37583931,matx17,602634,2,13344089,2012-10-03T08:20:48Z
37584070,JaLooNz,741163,4,12710257,2012-08-13T08:06:52Z
37584715,JaLooNz,741163,3,15532649,2013-03-28T23:45:50Z
37635198,cboothroyd,255802,2,11310885,2012-04-15T14:18:53Z
38533986,bintang,217450,8,8071861,2011-05-07T10:02:25Z
38913098,jRonny,780953,5,17956914,2013-09-21T13:42:55Z
39351292,Ropino,42123,3,13404686,2012-10-07T20:50:12Z
39430859,JaLooNz,741163,3,12482769,2012-07-25T07:51:23Z
39488121,banjax,158358,8,17479092,2013-08-24T04:08:31Z
39741821,tiger_old,16558,1,2300014,2009-08-29T12:07:40Z
39959160,cboothroyd,255802,3,11506607,2012-05-05T11:09:45Z
39961210,Erwin Bolwidt,3633,2,12948798,2012-09-02T02:37:15Z
40843337,JaLooNz,741163,7,16365423,2013-05-31T13:42:37Z
41319992,Jpatokal,17254,1,2569270,2009-09-22T13:51:23Z
41333806,MHolz,259295,3,4651198,2010-05-09T17:12:57Z
41388792,MHolz,259295,2,4704640,2010-05-15T10:25:33Z
41389409,rhuseinh,172418,1,2596208,2009-09-23T15:47:46Z
41425631,Roman Fischer,78090,2,2723517,2009-10-03T14:00:35Z
41425646,singastreet,23295,2,7964080,2011-04-25T14:22:00Z
41442395,cboothroyd,255802,2,11948166,2012-06-19T13:15:02Z
41457258,cboothroyd,255802,5,10451693,2012-01-20T23:13:51Z
41499774,Roman Fischer,78090,1,2633964,2009-09-26T04:54:54Z
41499787,singastreet,23295,2,7940759,2011-04-23T06:39:33Z
41524383,Roman Fischer,78090,1,2641594,2009-09-26T14:57:34Z
41566026,Roman Fischer,78090,1,2647886,2009-09-27T04:18:08Z
41659592,samden,427807,6,14715513,2013-01-20T02:59:45Z
41662296,JaLooNz,741163,2,12434695,2012-07-22T15:29:40Z
41663782,oeoeoe,178837,1,2662490,2009-09-28T11:04:15Z
41671027,Roman Fischer,78090,1,2665209,2009-09-28T15:08:40Z
41743328,Roman Fischer,78090,1,2683527,2009-09-30T01:14:43Z
41761742,singastreet,23295,2,7939941,2011-04-23T01:36:04Z
41788913,Roman Fischer,78090,1,2696083,2009-10-01T05:19:34Z
41838778,singastreet,23295,3,7897812,2011-04-18T14:55:42Z
41840866,singastreet,23295,2,7939941,2011-04-23T01:36:09Z
41888689,Roman Fischer,78090,1,2718893,2009-10-03T03:03:59Z
41889999,Singeo,33336,8,17901743,2013-09-18T08:57:09Z
41890609,oeoeoe,178837,1,2719425,2009-10-03T06:31:56Z
41895459,cboothroyd,255802,3,11408646,2012-04-24T19:32:24Z
41913930,matx17,602634,4,11932781,2012-06-18T06:30:23Z
42063694,1osmos1,1756815,4,18042651,2013-09-26T10:45:32Z
42063707,AshKyd,84644,1,2757357,2009-10-06T06:49:41Z
42064037,AshKyd,84644,1,2757417,2009-10-06T07:01:20Z
42067600,AshKyd,84644,1,2758176,2009-10-06T09:12:17Z
42203020,Sihabul Milah,194337,3,4496554,2010-04-22T16:41:42Z
42797571,hopet,191339,5,18127695,2013-10-01T13:53:28Z
42902299,rhuseinh,172418,1,2908000,2009-10-20T23:24:23Z
43316440,rhuseinh,172418,1,2978896,2009-10-29T06:31:14Z
